Sample;Genotype
X27_1;IL27
X27_2;IL27
X27_4;IL27
X27_5;IL27
X27_6;IL27
X28_1;IL28
X28_2;IL28
X28_3;IL28
X28_4;IL28
X28_5;IL28
X28_6;IL28
X55_1;KG1955
X55_2;KG1955
X55_3;KG1955
X55_4;KG1955
X55_5;KG1955
X55_6;KG1955
s_ch_1;LA1840
s_ch_2;LA1840
s_ch_3;LA1840
s_ch_4;LA1840
s_ch_5;LA1840
s_ch_6;LA1840
