,[M],mz_[M+H]+,mzmin,mzmax,rt,rtmin,rtmax,npeaks,cdfs,IL27_1,IL27_2,IL27_4,IL27_5,IL27_6,IL28_1,IL28_2,IL28_3,IL28_4,IL28_5,IL28_6,MB_1,MB_2,MB_3,MB_4,MB_5,MB_6,LA1840_1,LA1840_2,LA1840_3,LA1840_4,LA1840_5,LA1840_6
metabolite_202,424.170702,425.1779783,425.1762669,425.1803845,1081.370078,1071.624352,1120.153829,17,202,0.001779881,6.59E-05,0.000211181,0.002188893,0.000192721,0.000913338,0.00030526,0.000662502,0.000434975,0.000922543,0.001544337,2.14E-05,0.004139437,0.002819737,9.70E-06,6.57E-05,0.000131541,0,3.91E-06,2.23E-05,4.40E-06,2.72E-06,2.90E-06
metabolite_203,424.134787,425.142063,425.1389122,425.1582948,487.409958,478.8705424,569.6927535,41,203,0.000504614,0.001118561,0.000489148,0.000317683,0.000240642,0.000380054,0.000243748,0.000407486,0.000274086,0.00026612,0.000423427,0.000591683,0.000922266,0.000263689,0.001383143,0.000782804,0.000621779,0.000522159,0.001585868,0.001243967,0.001130004,0.001337561,0.001662182
metabolite_204,425.13835,426.1456257,426.1429695,426.1616671,486.2503833,478.2565424,540.1926129,19,204,1.60E-05,7.15E-05,3.96E-05,2.28E-05,2.83E-05,3.81E-05,3.46E-05,4.44E-05,3.21E-05,2.94E-05,4.01E-05,4.09E-05,6.72E-05,3.77E-05,7.51E-05,5.87E-05,1.23E-05,4.56E-05,8.48E-05,1.19E-05,7.41E-05,8.61E-05,8.26E-05
metabolite_205,425.177523,426.1847989,426.1799253,426.3389079,1075.053102,1016.126684,1119.207309,16,205,7.97E-05,1.66E-06,8.37E-06,0.000101404,1.08E-05,4.69E-05,2.34E-05,4.72E-05,3.24E-05,3.87E-05,6.61E-05,3.44E-06,0.000263448,0.000141564,2.77E-06,3.65E-06,2.56E-06,2.39E-07,7.72E-07,1.96E-05,3.65E-07,1.07E-05,1.83E-05
metabolite_206,425.386267,426.3935427,426.3900396,426.3964841,2145.741758,2145.394849,2146.613161,19,206,6.15E-05,6.57E-05,6.31E-05,5.64E-05,1.30E-05,5.23E-05,6.81E-05,8.96E-05,8.45E-05,0.000105321,8.15E-05,6.83E-05,6.38E-05,7.57E-05,8.33E-05,8.81E-05,9.31E-05,8.63E-07,6.41E-05,5.44E-05,5.82E-05,7.71E-05,8.37E-05
metabolite_207,428.292642,429.2999178,429.2967764,429.3558931,1018.590538,901.3004689,1043.972225,43,207,5.19E-05,0.000149312,0.000163689,0.000101234,5.73E-05,3.57E-05,3.95E-05,4.77E-05,4.98E-05,5.10E-05,5.30E-05,0.000250081,0.000103847,6.98E-05,0.000170079,0.000130815,0.000119248,0.000175332,0.00014043,0.00019865,0.000201969,0.000266892,0.000141711
metabolite_208,428.365562,429.3728377,429.3691022,429.3758154,2196.098493,2194.559361,2293.351823,35,208,0.002234307,0.002568938,0.002436879,0.002162935,0.00205914,0.002790241,0.002687774,0.001976716,0.00251617,0.001883618,0.001955868,0.003050366,0.002536314,0.001593974,0.003639355,0.003117331,0.00237556,9.21E-06,0.000988851,0.001256127,0.001435534,0.001995833,0.001480665
metabolite_209,429.163923,430.1711994,430.1671023,430.3332168,884.109575,850.996333,925.9284277,15,209,7.32E-05,5.79E-05,4.48E-06,2.38E-05,2.74E-05,1.28E-05,1.45E-05,2.11E-05,2.33E-05,1.52E-05,2.49E-05,4.00E-05,4.42E-05,3.21E-05,2.20E-05,6.38E-06,3.92E-05,7.96E-07,1.89E-06,1.34E-06,9.96E-06,1.17E-06,1.13E-05
metabolite_210,429.370263,430.3775391,430.3744485,430.3802632,2195.808304,2194.559361,2217.811504,25,210,0.00038201,0.000515576,0.000481577,0.000382588,0.000365543,0.00053593,0.000396189,0.000382289,0.000510788,0.000399817,0.000397858,0.000560202,0.000423661,0.000262238,0.000678194,0.000576773,0.00046068,1.32E-05,0.00017687,0.000226748,0.000282443,0.000439727,0.000278112
metabolite_211,431.23004,432.2373158,432.2333493,432.239962,1647.551088,1629.930922,1649.602582,15,211,3.68E-05,2.91E-05,4.44E-05,4.32E-05,0.000138508,2.64E-05,1.62E-05,6.42E-05,3.10E-05,3.37E-05,4.33E-05,3.59E-05,4.12E-05,3.99E-05,2.21E-05,5.79E-05,5.50E-05,1.12E-06,4.56E-05,1.21E-05,3.16E-05,3.12E-05,4.28E-05
metabolite_212,431.339668,432.3469443,432.264422,432.3492251,936.1406748,792.9256801,1032.289474,52,212,0.000205575,0.000269043,0.000199955,0.000215882,0.000194796,0.000210405,0.000160221,0.000211572,0.00015752,0.000496766,0.000389163,0.000249853,0.000182521,0.000281161,0.000187614,0.000163279,0.000271869,0.001106406,0.004971222,0.005963739,0.004089363,0.004546551,0.003333524
metabolite_213,432.343665,433.3509405,433.2568275,433.3533418,938.9115377,872.0180224,1011.154806,27,213,1.12E-05,3.38E-05,2.99E-05,2.93E-05,3.50E-05,9.23E-06,2.86E-05,3.79E-05,2.24E-05,7.02E-05,5.91E-05,2.93E-05,2.84E-05,3.47E-05,2.35E-05,2.79E-05,3.81E-05,0.00011735,0.000677949,0.000877911,0.000615737,0.000740244,0.000470298
metabolite_214,433.194645,434.2019207,434.1999281,434.2035625,602.9588855,600.7656973,606.9925565,21,214,0.000257829,0.00067963,0.00035824,0.000276195,0.000230905,0.000245264,0.000136006,0.000221715,0.000220748,0.000164567,0.000224201,0.000130505,0.000255952,0.00014902,0.00063419,0.000381778,0.000208232,3.66E-07,0.000616222,0.000577281,0.000319182,0.001273101,0.000856571
metabolite_215,434.198077,435.2053531,435.1799035,435.2074957,603.0668831,558.1433812,606.6013957,17,215,2.74E-05,5.26E-05,2.41E-05,2.40E-05,2.73E-05,2.37E-05,1.97E-05,2.62E-05,2.61E-05,2.62E-05,2.57E-05,4.35E-06,1.92E-05,1.62E-05,5.39E-05,3.63E-05,2.53E-05,1.22E-07,5.04E-05,4.34E-05,2.18E-05,0.000111913,7.53E-05
metabolite_216,434.739403,435.7466793,435.7443459,435.7492733,1091.237745,1080.569987,1108.419534,18,216,6.11E-05,9.02E-05,4.95E-05,7.24E-05,0.000144689,4.45E-05,4.44E-05,6.83E-05,1.85E-05,7.89E-07,7.76E-05,0.000117882,3.45E-05,9.18E-05,0.000115376,8.39E-05,9.90E-05,9.58E-07,4.07E-05,2.86E-05,2.76E-05,3.65E-05,1.45E-05
metabolite_217,435.209853,436.2171293,436.2074009,436.2191935,675.2047556,603.0668831,689.321752,19,217,0.000201598,0.000172229,0.000338746,0.000377098,0.000493686,0.000131507,8.31E-05,0.000122684,9.29E-05,0.000132737,0.000190472,6.38E-05,0.000525724,0.000398275,0.000231613,0.000290676,0.000160219,1.22E-07,6.63E-06,7.31E-06,4.67E-06,6.83E-06,6.43E-06
metabolite_218,438.149701,439.1569771,439.1553257,439.1589689,602.9256093,595.5511208,607.786979,23,218,6.05E-05,0.000128889,8.69E-05,7.10E-05,2.33E-05,7.71E-05,4.67E-05,7.01E-05,6.98E-05,4.00E-05,7.27E-05,3.53E-05,6.18E-05,4.38E-05,0.000142458,9.67E-05,5.86E-05,9.17E-05,6.90E-05,9.20E-05,6.65E-05,0.000175687,0.000138281
metabolite_219,440.108686,441.1159618,441.1139595,441.1379226,485.9236055,482.1002318,496.2411755,29,219,0.000264827,0.000203214,0.000285589,0.000185703,0.000659103,0.000207322,0.000170241,0.000125911,0.000196957,0.000197616,0.00022953,0.000260026,0.000376629,0.000301389,0.000524586,0.00036734,0.000328388,2.29E-05,0.000513499,0.000451003,0.000426086,0.000466057,0.00053461
metabolite_220,440.165696,441.1729723,441.1706506,441.1746313,675.6903612,672.6887818,688.9106305,16,220,0.00015104,0.000110864,0.000232731,0.000278511,0.000192256,0.000106472,8.99E-05,0.000161325,0.000108183,0.000117051,0.000192463,3.38E-05,0.000305536,0.000233444,0.000145176,0.000202041,0.000170561,2.06E-06,7.36E-06,8.67E-06,4.61E-06,5.21E-06,2.65E-06
metabolite_221,440.144794,441.1520697,441.1504724,441.155757,1079.902193,1071.832483,1120.153829,12,221,0.000154462,4.57E-06,1.89E-05,0.000160301,0.000113917,8.11E-05,4.13E-05,6.76E-05,4.79E-05,0.000101421,0.000134866,5.55E-06,0.000444156,0.000260064,3.11E-06,3.44E-06,2.20E-06,0,1.15E-06,8.78E-06,1.40E-06,9.45E-07,7.96E-07
metabolite_222,448.10005,449.1073257,449.1053461,449.1091031,750.5695659,680.1923027,766.6807744,38,222,0.00013774,0.000384811,0.000631679,0.000234568,0.000232159,0.000154249,0.000186385,0.000166758,0.000164194,8.59E-05,0.000155217,0.000243386,6.14E-05,2.75E-05,0.000245226,4.29E-05,5.41E-05,0,0.000348561,0.000154025,0.000155808,0.000160828,4.35E-05
metabolite_223,451.314029,452.3213051,452.3186546,452.3242676,1897.275862,1895.679195,1897.603239,22,223,0.000261136,0.000798167,0.000269476,6.95E-05,0.000248265,0.000138733,0.003102267,0.000370771,0.000437878,0.000373989,0.000538331,0.000275436,0.000758146,0.000294103,0.000750902,0.000280487,0.000228366,6.36E-07,0.000450038,0.000590694,0.0003719,0.000615553,0.000500654
metabolite_224,453.285112,454.2923882,454.2900941,454.2952004,1942.352869,1942.153199,1942.803827,21,224,0.000145147,0.000134451,0.000284598,0.000213663,0.000132612,0.000328291,0.000350373,0.00017225,0.000163184,0.000349364,0.000449197,9.79E-05,0.000130966,9.65E-05,7.18E-05,9.15E-05,0.00011464,5.35E-06,7.94E-05,0.000106604,0.000187448,0.000266054,0.000174592
metabolite_225,454.123431,455.1307068,455.128173,455.1329354,602.9256093,600.9725435,607.0066398,21,225,7.74E-05,0.00011505,8.82E-05,7.96E-05,9.13E-05,9.64E-05,5.96E-05,7.58E-05,8.49E-05,5.93E-05,7.25E-05,4.18E-05,6.56E-05,5.49E-05,0.000129832,0.000103726,6.31E-05,7.32E-07,6.66E-05,9.17E-05,8.29E-05,0.000156796,0.000142948
metabolite_226,456.147855,457.1551309,457.1136977,457.158263,1139.260827,1072.889133,1209.329823,154,226,0.003213428,0.005968968,0.000553867,0.023478938,0.020412217,0.005231851,0.01298643,0.000596236,0.00353323,0.002435706,0.006252228,0.022259398,0.002906572,0.013031432,0.010125157,0.009569756,0.004034799,9.75E-06,0.001597091,0.008071159,0.009744357,0.010060875,0.000570886
metabolite_227,456.14773,457.1550062,457.1521707,457.1573304,944.7852547,872.971974,1006.075107,49,227,2.99E-05,5.71E-05,3.95E-05,4.32E-05,6.24E-05,3.18E-05,3.46E-05,3.81E-05,3.22E-05,7.27E-05,6.57E-05,0.000129775,3.65E-05,5.73E-05,5.34E-05,9.58E-06,4.54E-05,0.000100449,0.000826112,8.89E-05,0.000721676,0.000838519,0.0006246
metabolite_228,456.071714,457.0789899,457.0765108,457.1100749,486.696063,482.1882668,503.2168903,12,228,1.08E-05,2.72E-05,2.76E-05,1.98E-05,4.90E-05,1.82E-05,1.85E-05,8.34E-06,1.15E-05,2.42E-05,2.58E-05,2.18E-05,9.62E-06,1.25E-05,4.28E-05,1.08E-05,3.57E-05,9.96E-07,1.07E-05,2.50E-05,6.69E-06,2.67E-05,3.37E-05
metabolite_229,457.339607,458.3468831,458.3423848,458.3500346,1983.911523,1983.530098,1984.728053,22,229,7.55E-05,0.00016432,0.00020816,0.000204502,4.17E-05,0.000121858,0.00015413,0.000230186,0.000205544,0.000309654,0.000225,0.000106605,8.76E-05,0.000177215,0.000244693,0.000229235,0.000235472,6.36E-07,0.000129365,0.000164564,0.000210426,0.000177212,0.000206501
metabolite_230,458.215392,459.222668,459.2201534,459.2650735,868.0401627,835.1801166,951.2851046,29,230,1.90E-05,7.04E-05,3.36E-05,2.66E-05,2.12E-05,1.24E-05,8.77E-06,2.67E-05,3.10E-05,4.52E-05,1.65E-05,5.46E-05,1.86E-05,5.03E-05,4.25E-05,6.14E-05,4.15E-05,6.62E-07,0.000123234,5.79E-05,3.16E-05,6.54E-05,0.000100882
metabolite_231,458.343113,459.3503893,459.348331,459.3534958,1983.800106,1983.463841,1984.882302,12,231,2.40E-05,3.21E-05,3.51E-05,2.96E-05,1.45E-05,2.39E-05,3.20E-05,2.79E-05,9.97E-06,5.13E-05,2.55E-05,1.39E-05,2.65E-05,1.04E-05,2.93E-05,3.36E-05,3.94E-05,1.39E-06,1.75E-05,2.92E-05,2.86E-05,2.66E-05,2.91E-05
metabolite_232,459.260985,460.2682612,460.2653128,460.2929293,1647.659599,1647.052305,1703.239796,13,232,2.86E-05,2.04E-05,5.00E-05,4.71E-05,6.19E-06,2.97E-05,4.13E-05,6.47E-05,4.82E-05,5.11E-05,9.45E-05,1.16E-05,3.19E-05,4.50E-05,6.78E-05,5.49E-05,2.22E-05,0,3.05E-05,1.93E-05,1.07E-05,2.63E-05,1.74E-05
metabolite_233,463.168043,464.1753192,464.0592423,464.1782945,579.1596671,538.2068543,583.5640011,21,233,0.00022988,0.000486537,0.000428612,0.000146774,0.000270791,7.26E-05,7.86E-05,0.000136734,8.58E-05,0.000115608,0.00026472,8.48E-05,0.00076553,0.000204517,0.000203482,0.000199922,0.000267387,0,2.97E-05,7.07E-06,2.75E-05,3.84E-05,3.00E-05
metabolite_234,464.095425,465.1027011,465.1000736,465.1049505,681.2995275,642.352695,694.1460686,34,234,0.001417655,0.001953115,0.001930258,0.001120614,0.001272499,0.002412755,0.001302151,0.002059383,0.001323987,0.001081741,0.0014127,0.001319277,0.000895703,0.000656853,0.00137774,0.001165193,0.001785983,9.15E-06,0.002529153,0.002938047,0.002728299,0.002589107,0.001674605
metabolite_235,465.098812,466.1060879,466.1036815,466.1081851,681.2075049,679.9932898,684.8379579,20,235,0.000159797,0.000186321,0.000248664,0.000201873,0.000143435,0.000197456,9.29E-05,0.000207557,0.000118259,0.000101543,0.000221551,7.95E-05,0.000100013,4.89E-05,0.00017113,0.000128802,0.000217079,3.12E-06,0.00017383,0.000265695,0.000280533,0.000278061,0.000153827
metabolite_236,465.257493,466.2647693,466.261534,466.2672013,1020.231388,1008.903568,1044.63933,27,236,0.004058296,0.00437757,0.005644919,0.00494465,0.007001539,0.002361266,0.001056294,0.001441759,0.000976894,0.002111978,0.002018646,0.002142788,0.005339043,0.00417637,0.002892522,0.004140793,0.002842854,0,0.000336251,0.000766971,0.000534167,0.000405131,0.000138978
metabolite_237,466.261701,467.2689767,467.2660561,467.2710429,1018.603787,1008.903568,1039.031548,21,237,0.000447674,0.000587796,0.001089072,0.000841713,0.001483036,0.000241968,8.49E-05,0.000146205,9.11E-05,0.000213537,0.000209348,0.000184161,0.000769817,0.000595603,0.000334602,0.000565002,0.000264963,2.16E-07,2.80E-05,5.35E-05,4.09E-05,3.44E-05,2.15E-05
metabolite_238,467.412001,468.4192771,468.4162241,468.4221701,2287.678896,2282.719025,2288.919509,23,238,0.000628633,0.000611357,0.000239777,0.000279188,0.00104707,0.000724149,0.000792937,0.000736993,0.000563795,0.000478774,0.000733353,0.000672827,0.000791437,0.000300765,0.000624365,0.000615644,0.000743623,1.78E-05,0.000694886,0.000681425,0.000510952,0.000534838,0.000621793
metabolite_239,467.381875,468.389151,468.3873686,468.3916118,2006.695276,2004.286985,2007.640847,18,239,4.98E-05,6.26E-05,9.03E-05,0.000102591,0.000330289,4.33E-05,7.27E-05,9.19E-05,0.00012838,0.000146861,0.000109618,5.30E-05,6.50E-05,7.16E-05,9.21E-05,9.66E-05,0.000109043,2.48E-07,4.78E-05,7.86E-05,8.55E-05,9.33E-05,9.93E-05
metabolite_240,468.124163,469.131439,469.1105076,469.1685418,578.8691443,517.8694788,583.7622879,26,240,0.000996297,0.002191577,0.00207891,0.001158799,0.00120553,0.000521056,0.000674266,0.001113596,0.00073966,0.000868885,0.001822349,0.00050846,0.002507415,0.001364103,0.001651167,0.001576188,0.001698135,3.22E-05,0.000110639,0.000236228,0.000273224,0.000286161,0.000264099
metabolite_241,468.271798,469.2790743,469.2757963,469.2821317,1700.611882,1697.669611,1701.343982,22,241,0.000102538,7.25E-05,0.000423627,0.000313446,0.000408314,2.95E-05,5.05E-05,0.000109463,5.91E-05,0.00010192,0.000154282,3.17E-05,3.91E-05,6.10E-05,3.33E-05,0.000110955,0.000132545,1.08E-05,0.000156095,0.000237105,0.000196354,0.000197873,0.00020611
metabolite_242,468.415455,469.4227307,469.4194346,469.4246736,2287.705402,2282.923025,2288.247823,20,242,0.000104227,9.74E-05,4.45E-05,9.86E-05,0.000173805,0.000112335,5.37E-05,7.12E-05,6.60E-05,0.000145318,0.000118761,5.22E-05,5.50E-05,6.12E-05,0.0001089,8.14E-05,0.000128378,1.79E-05,9.84E-05,0.000106065,8.86E-05,8.64E-05,0.000106154
metabolite_243,469.126567,470.1338435,470.1326078,470.1374235,578.8865983,576.3377283,581.8256282,15,243,5.31E-05,0.000146133,0.000135231,8.81E-05,0.000109848,3.64E-05,4.98E-05,7.61E-05,6.04E-05,7.16E-05,0.00014549,3.49E-05,0.000153646,9.75E-05,0.000152161,0.000120378,0.000113853,2.29E-06,1.66E-05,2.74E-05,1.73E-05,2.33E-05,2.45E-05
metabolite_244,469.412917,470.4201929,470.4169444,470.423219,2145.629759,2145.293722,2146.003539,21,244,0.000365598,0.000343465,0.000427705,0.00051461,3.04E-05,0.000502892,0.000409769,0.000592184,0.000568043,0.000731842,0.000620343,0.000576014,0.000340846,0.0004788,0.000508519,0.000577118,0.000733496,2.92E-06,0.000428108,0.00034137,0.000468523,0.00055856,0.000581034
metabolite_245,470.082468,471.0897438,471.0872055,471.0918467,764.0666641,762.7617605,766.5226709,13,245,3.48E-05,4.36E-05,8.54E-05,5.63E-05,4.12E-05,3.62E-05,7.05E-05,3.52E-05,3.20E-05,3.24E-05,5.34E-05,1.15E-05,1.66E-05,1.02E-05,2.74E-05,2.61E-05,3.98E-05,1.22E-07,1.10E-05,1.22E-05,1.10E-05,1.22E-05,4.60E-06
metabolite_246,470.21299,471.220266,471.1314718,471.2232916,1018.661099,1009.122714,1053.519139,24,246,0.001139477,0.001151308,0.002137619,0.001778621,0.002765681,0.000462465,0.000179759,0.000250642,0.000156285,0.000399339,0.000477458,0.000404708,0.001883897,0.001070116,0.000490935,0.001010851,0.000691687,7.53E-07,0.000108221,0.000194922,0.000109774,7.24E-05,3.09E-05
metabolite_247,470.242986,471.2502619,471.2471644,471.2528492,1587.958694,1582.608448,1591.887242,18,247,5.25E-05,0.000120066,0.000113748,0.000134486,0.000151544,4.35E-05,0.000115945,0.000130845,9.70E-05,0.000131138,0.000185871,1.52E-05,7.44E-05,5.21E-05,4.59E-05,5.43E-05,9.06E-05,1.10E-05,4.37E-05,5.94E-05,6.92E-05,8.92E-05,0.000129854
metabolite_248,470.416879,471.4241547,471.4201707,471.4258332,2145.629759,2145.293722,2146.244766,15,248,5.22E-05,5.40E-05,4.42E-05,5.72E-05,1.15E-05,6.63E-05,2.27E-05,8.45E-05,7.07E-05,8.35E-05,9.22E-05,6.44E-05,4.56E-05,7.09E-05,7.60E-05,6.70E-05,0.000109312,1.73E-06,4.90E-05,4.48E-05,6.57E-05,5.83E-05,7.64E-05
metabolite_249,471.216198,472.223474,472.220701,472.2258315,1018.603787,1008.903568,1038.591666,15,249,5.30E-05,6.63E-05,0.000128834,0.000110104,0.000192099,2.85E-05,1.93E-05,2.40E-05,2.18E-05,4.16E-05,3.95E-05,2.49E-05,0.000102159,6.57E-05,3.58E-05,1.94E-05,4.98E-05,1.08E-07,1.54E-05,1.68E-05,1.48E-05,1.69E-07,7.34E-06
metabolite_250,472.258126,473.2654022,473.2631376,473.2685868,1683.282513,1678.204157,1717.282282,21,250,9.66E-05,0.000155838,0.000137734,0.000155642,0.000148597,0.00012954,6.76E-05,0.000163225,0.000112255,0.000133868,0.000205689,3.93E-05,9.92E-05,7.31E-05,4.16E-05,7.81E-05,0.000111999,2.28E-05,0.000399827,0.0003169,0.000409957,0.000548415,0.000824434
metabolite_251,473.25173,474.2590059,474.2565953,474.2620864,623.935176,593.5842712,629.1395476,24,251,0.002543582,0.002852844,0.009496872,0.004299329,0.010825711,0.001747192,7.29E-05,0.000470746,0.000114312,0.000413514,0.000240956,0.008151287,0.007851622,0.006155315,0.003022747,0.005811887,0.003805779,0.002502442,0.013284598,0.012372274,0.011010276,0.013348178,0.010424541
metabolite_252,473.350477,474.3577528,474.3306819,474.3613734,1206.837182,1166.891431,1284.236863,32,252,0.001940815,0.002955269,0.002305841,0.001533818,0.002399905,0.000655144,0.000550758,0.00086105,0.000934508,0.000661036,0.000810728,0.00392696,0.00252545,0.002673301,0.003212451,0.002602696,0.002402672,0.025924632,0.012104628,0.008191364,0.019203656,0.009752526,0.020312622
metabolite_253,474.255892,475.2631684,475.2609783,475.2653307,623.9963584,605.385256,629.5422428,20,253,0.000337642,0.000303406,0.001657314,0.000627234,0.003126994,0.000155352,2.31E-05,5.98E-05,2.89E-06,7.28E-05,4.49E-05,0.001007858,0.001216183,0.000847964,0.000376392,0.000807997,0.000476101,0.000234927,0.001845745,0.002774016,0.00273825,0.003835522,0.00222176
metabolite_254,474.355235,475.3625113,475.3593514,475.3645877,1205.438677,1168.064345,1209.532469,30,254,0.000233153,0.000372472,0.000372798,0.000221702,0.00029839,7.56E-05,5.77E-05,0.000132022,0.000104022,9.97E-05,9.45E-05,0.000527119,0.00029693,0.000339589,0.00044842,0.000292265,0.000361725,0.003899406,0.003720982,0.004642269,0.006713339,0.001566692,0.000817115
metabolite_255,475.205212,476.2124882,476.2104412,476.2148687,827.6985651,823.8208295,862.1739921,18,255,0.004040379,0.005087558,0.005133717,0.003956264,0.003997777,0.002035881,0.001155778,0.000893904,0.000963105,0.000615299,0.002659941,0.002210138,0.003766695,0.002216698,0.002150413,0.003103957,0.004027164,0,2.01E-06,2.24E-06,8.40E-07,6.74E-07,1.44E-05
metabolite_256,476.209425,477.2167015,477.2141243,477.2189363,827.1815598,823.8208295,834.210365,17,256,0.000511787,0.000812375,0.000892339,0.000615968,0.000615979,0.000210124,0.000126731,6.84E-05,8.09E-05,5.77E-05,0.000326969,0.00015046,0.000446713,0.000188401,0.000159198,0.000318987,0.000507547,1.28E-07,1.04E-06,5.46E-07,7.41E-07,5.62E-07,4.66E-07
metabolite_257,477.284895,478.2921709,478.289651,478.295353,1892.003145,1891.640756,1910.919846,31,257,0.000457456,0.000494007,0.001224631,0.000909513,0.000722825,0.001066661,0.001336685,0.000865758,0.000598999,0.002144392,0.002408855,0.000136889,0.000259881,0.000218148,7.79E-05,0.000227072,0.000397409,1.80E-05,0.00047365,0.001456273,0.001631021,0.001851879,0.001707733
metabolite_258,478.288334,479.2956099,479.2922139,479.2984489,1891.86437,1891.290986,1892.220336,13,258,1.79E-05,4.04E-05,0.000101104,6.59E-05,7.76E-05,8.16E-05,0.000128776,8.20E-05,6.16E-05,0.000200459,0.000222546,2.41E-05,3.63E-05,3.57E-05,1.93E-05,3.53E-05,4.75E-05,7.21E-06,4.04E-05,0.000146756,0.000112962,0.000223783,0.000146035
metabolite_259,480.161879,481.1691551,481.1665367,481.2040318,829.6367621,823.8208295,875.3253117,25,259,0.002487233,0.003302034,0.003176378,0.002531605,0.001796887,0.001374944,0.001120241,0.000972325,0.000878901,0.000789423,0.002210713,0.001187644,0.002349457,0.00153802,0.001335707,0.00195129,0.002946737,8.50E-06,2.09E-05,2.59E-06,6.13E-06,1.73E-06,1.43E-05
metabolite_260,481.164801,482.1720767,482.1702824,482.1746549,827.9013748,823.8208295,834.4267358,16,260,0.000143942,0.000235602,0.000214665,0.000185988,0.000133802,6.49E-05,7.25E-05,7.67E-05,5.90E-05,6.92E-05,0.00015361,7.66E-05,0.00011865,0.000119195,9.55E-05,0.00012818,0.000188162,1.79E-06,9.12E-07,7.90E-07,4.76E-07,5.62E-07,2.01E-07
metabolite_261,481.391423,482.3986993,482.3951065,482.4017516,2287.494045,2282.719025,2288.919509,20,261,6.74E-05,0.000100313,8.96E-05,6.03E-05,0.000158901,8.59E-05,9.74E-05,0.000104456,6.62E-05,0.000143354,0.00010615,0.000100066,0.000101622,7.76E-05,3.11E-05,9.08E-05,6.76E-05,2.08E-05,9.12E-05,0.000100971,7.65E-05,7.09E-05,8.95E-05
metabolite_262,483.376009,484.3832855,484.3796233,484.3854775,1915.858182,1915.390719,1916.985476,14,262,2.50E-05,2.95E-05,2.45E-05,2.55E-05,2.25E-05,2.83E-05,3.33E-05,3.35E-05,2.66E-05,1.40E-05,2.16E-05,1.72E-05,2.07E-05,2.74E-05,2.88E-05,2.78E-05,2.16E-05,0,1.89E-05,2.52E-05,1.98E-05,1.33E-05,2.44E-05
metabolite_263,484.097299,485.1045753,485.1012061,485.1070984,579.0868293,576.5444791,583.9605735,19,263,6.11E-05,0.000111845,0.000118959,5.95E-05,0.000935025,3.79E-05,5.97E-05,5.63E-05,6.19E-05,7.85E-05,0.000101764,4.09E-05,0.000127061,8.98E-05,9.57E-05,0.000106147,9.95E-05,1.20E-06,1.46E-05,2.11E-05,2.72E-05,2.45E-05,3.26E-05
metabolite_264,486.205621,487.2128965,487.0820119,487.2168607,681.7336301,677.1220045,712.6430027,32,264,0.000522562,0.000801142,0.000600779,0.000748651,0.001771167,0.000634985,0.000294513,0.000249984,0.000255348,0.000491357,0.000554344,0.000553639,0.000924005,0.000730109,0.000557882,0.000620845,0.000572105,5.15E-06,1.14E-05,2.68E-05,3.62E-05,8.64E-06,5.77E-06
metabolite_265,486.185447,487.1927232,487.164752,487.1972154,1023.793568,1009.559046,1111.331813,31,265,0.000122028,0.000125903,0.000225437,0.000189946,0.0037599,4.19E-06,3.70E-05,4.44E-05,3.51E-05,5.69E-05,6.05E-05,6.01E-05,0.000202898,0.000125964,6.96E-05,0.000125521,6.33E-05,1.17E-06,1.56E-05,4.02E-05,2.67E-05,0.000111377,0.000113023
metabolite_266,486.282442,487.2897177,487.2865697,487.2925662,1700.436978,1697.417376,1700.997603,20,266,0.000173407,0.000233539,0.0006178,0.000496329,0.000675216,7.39E-05,7.26E-05,0.000193485,9.64E-05,0.000167699,0.000129762,5.49E-05,0.000106488,0.000188888,5.55E-05,0.000160165,0.000209335,2.99E-06,0.000236723,0.000190449,0.000160353,0.000343442,0.00049039
metabolite_267,487.211608,488.2188843,488.2159484,488.2740314,678.9991325,677.2151171,724.9500248,15,267,4.34E-05,9.77E-05,7.74E-05,4.89E-05,0.000142373,4.27E-05,2.91E-05,2.40E-05,2.20E-05,4.30E-05,8.01E-05,3.89E-05,9.44E-05,6.93E-05,4.67E-05,4.84E-05,5.13E-05,9.71E-07,4.19E-06,3.92E-06,1.79E-06,8.83E-06,2.87E-06
metabolite_268,488.253568,489.2608444,489.257954,489.264018,1588.317427,1581.152989,1592.206499,22,268,0.000478035,0.000773534,0.000847318,0.000895358,0.000772733,0.000756434,0.000774283,0.000824799,0.000702307,0.000868334,0.001273162,0.000181374,0.000375216,0.00038916,0.000178784,0.00029246,0.000542037,2.00E-06,0.000297395,0.000399762,0.000481383,0.000659375,0.001124129
metabolite_269,489.25776,490.2650358,490.2631043,490.266602,1589.10765,1584.96134,1591.798516,13,269,5.50E-05,7.37E-05,8.70E-05,8.48E-05,8.63E-05,4.68E-05,6.59E-05,9.84E-05,8.71E-05,0.000107274,0.000112329,3.00E-05,3.73E-05,5.59E-05,3.54E-05,4.07E-05,6.71E-05,5.00E-07,2.00E-05,5.62E-05,4.32E-05,7.47E-05,0.000112698
metabolite_270,490.26865,491.2759262,491.2660192,491.2789536,1683.487228,1588.995397,1717.775708,23,270,0.00015239,0.000270638,0.000259523,0.00024313,0.000247882,0.000240281,0.000266602,0.000261987,0.000207294,0.000114599,0.000365298,2.94E-05,8.74E-05,0.000143727,0.000143024,0.000121231,9.07E-05,5.59E-06,0.000662591,0.000559253,0.000723428,0.000994711,0.001447692
