,[M],mz_[M+H]+,mzmin,mzmax,rt,rtmin,rtmax,npeaks,cdfs,IL27_1,IL27_2,IL27_4,IL27_5,IL27_6,IL28_1,IL28_2,IL28_3,IL28_4,IL28_5,IL28_6,MB_1,MB_2,MB_3,MB_4,MB_5,MB_6,LA1840_1,LA1840_2,LA1840_3,LA1840_4,LA1840_5,LA1840_6
metabolite_89,313.225882,314.2331583,314.231139,314.277134,1977.112125,1974.457754,2023.166101,19,89,7.40E-05,7.70E-05,7.07E-05,6.96E-05,9.87E-06,5.21E-05,0.000108458,0.000114218,9.45E-05,0.000121409,7.44E-05,6.31E-05,5.65E-05,1.00E-04,9.87E-05,7.99E-05,8.89E-05,0.000140131,7.26E-05,8.20E-05,1.07E-05,4.89E-05,6.12E-05
metabolite_90,315.242138,316.2494142,316.2455871,316.2847252,1911.227374,1863.243311,1924.845527,44,90,0.005472611,0.005721176,0.004956064,0.004666444,0.000269365,0.005832217,0.006474623,0.0066896,0.005324498,0.007692937,0.005203947,0.005438651,0.005612056,0.005621544,0.005916177,0.00532716,0.005352427,1.26E-06,0.005238811,0.005440132,0.00508871,0.004278594,0.0048267
metabolite_91,316.244768,317.2520444,317.1130585,317.2887625,1911.306928,1910.507155,1940.382646,32,91,0.000339393,0.000335696,0.000328873,0.000305117,0.001070428,0.000162503,0.00041098,0.000396729,0.000388616,0.000507436,0.000353793,0.000349889,0.000421501,0.000383602,0.000366174,0.000347714,0.000352923,1.28E-07,0.000380325,0.000179845,0.000349064,0.0002947,0.000340911
metabolite_92,318.061798,319.0690735,319.0679166,319.0702139,32.18351944,31.69652174,32.44183986,13,92,0.000109786,9.06E-05,8.65E-05,5.90E-05,7.10E-05,2.80E-05,2.98E-05,3.95E-05,3.57E-05,3.42E-05,4.46E-05,6.06E-05,8.02E-05,8.61E-05,3.77E-05,7.43E-05,9.15E-05,1.24E-07,2.43E-05,4.12E-05,3.76E-05,2.76E-05,2.88E-05
metabolite_93,318.277028,319.2843041,319.2824308,319.2861773,2004.55862,2002.311525,2005.478923,22,93,0.000736521,0.000779856,0.000597575,0.00050986,0.000289376,0.000821385,0.000932129,0.000859533,0.000697138,0.000839236,0.000556071,0.000760581,0.000867469,0.000794365,0.000787836,0.000640536,0.000624856,1.15E-06,0.000774394,0.000733355,0.000790139,0.000509203,0.000536961
metabolite_94,321.0989,322.1061762,322.1052631,322.1079741,65.05582917,64.03257202,65.97527657,12,94,2.39E-05,3.05E-05,5.11E-05,2.95E-05,5.48E-06,3.42E-05,0.00012858,5.12E-05,3.08E-05,8.80E-05,5.20E-05,0.000299919,0.000106651,0.000221275,0.000140674,7.19E-05,0.000122512,4.92E-07,2.15E-05,3.78E-06,3.20E-06,2.58E-05,4.25E-06
metabolite_95,322.153107,323.1603833,323.1589436,323.1612943,229.0603206,217.8360641,234.5667761,20,95,6.47E-05,4.66E-05,0.000111122,9.56E-05,7.09E-05,8.49E-05,0.000148164,7.31E-05,5.53E-05,0.000928966,8.13E-05,0.000351554,0.000114849,0.000212952,0.000111371,0.00017434,9.09E-05,1.11E-06,0.004009901,0.001476838,0.001642104,0.001341836,0.006159229
metabolite_96,322.153014,323.1602902,323.1588524,323.1615247,368.98113,351.9974574,378.8354113,20,96,0.000213635,0.000180078,0.000325445,0.000196835,0.000110092,0.000124077,5.38E-05,0.000121375,4.55E-05,0.000796419,0.000179524,0.000879711,0.000240445,0.000417239,0.000151575,0.000199104,0.000296865,2.81E-06,0.004366748,0.003340489,0.001170552,0.004167883,0.008822617
metabolite_97,324.106012,325.1132881,325.111726,325.1149907,1134.7898,1087.794208,1202.619647,65,97,0.000106425,0.001494933,0.001331331,0.000493272,0.000204148,0.000417374,0.001231715,0.000120674,0.000525461,0.004037579,0.000880291,0.000209462,0.00123311,0.000617546,0.002134582,0.000597994,0.00057588,7.73E-06,0.000170041,0.002037847,0.000139744,0.001084899,0.000841614
metabolite_98,324.229995,325.2372707,325.2350953,325.2390462,1700.385454,1698.934204,1701.003697,22,98,0.003743536,0.004804504,0.009144748,0.007264323,0.007591887,0.001291979,0.000627008,0.00327394,0.002038302,0.003307416,0.004924034,0.000825556,0.003035064,0.003234672,0.000681192,0.002838657,0.003748344,4.52E-05,0.004203653,0.006828421,0.004522077,0.00271711,0.008666032
