sample_id,genotype,replicate,tec_replicate,alpha_pinene,alpha_phellandrene,alpha_terpinene,d_limonene,b_phellandrene,trans_b_ocimene,linalool,terpinolene,geraniol,beta_caryophyllene,alpha_humulene,cuparene,neridol
20240119_AGQT_LAD_LA2663_1_2,LA2663,1,2,0.011560964,0.007557308,0.017128217,0.001902371,0.002138985,0.000711446,0.003586292,0.000552324,0,0.00272808,0.003810903,0,0.012094175
20240119_AGQT_LAD_LA2663_2_1,LA2663,2,1,0.017751205,0.097658383,0.157695531,0.041414179,0.053220571,0.066527309,0.009015976,0.000368764,0,0.018577491,0.023015262,0,0.024422221
20240119_AGQT_LAD_LA2663_2_2,LA2663,2,2,0.014923446,0.093365558,0.095884471,0.037496071,0.042936036,0.068175466,0.006269391,0.000579247,0,0.024135191,0.027346149,0,0.010002121
20240119_AGQT_LAD_LA2663_3_1,LA2663,3,1,0.01202273,0.006125844,0.085636739,0.003924543,0.005497533,0.009601205,0.001163391,0.000532654,0,0.000794247,0,0.006781644,0.006904169
20240119_AGQT_LAD_LA2663_3_2,LA2663,3,2,0.009223839,0.141185338,0,0.057063817,0.063428157,0.097730882,0.006129759,0.001930179,0,0.022861346,0.025919001,0.002235476,0.031438988
20240119_AGQT_LAD_LA2663_4_1,LA2663,4,1,0.012600504,0.010738018,0.112128308,0.00972055,0.00705899,0,0.008438989,0.002055437,0,0.000684028,0.004308679,0.026767976,0
20240119_AGQT_LAD_LA2663_4_2,LA2663,4,2,0.021174776,0.002210946,0.094327547,0.003925542,0.004941845,0,0.000126233,0.000857416,0,0.004365009,0.020291333,0,0.022367615
20240119_AGQT_LAD_LA2663_5_1,LA2663,5,1,0.002969025,0.029278733,0,0.036092232,0.035446446,0.003694391,0.002073915,0.00154502,0.001229925,0.002989546,0.025786233,0.01386124,0.027153997
20240119_AGQT_LAD_LA2663_5_2,LA2663,5,2,0.020089172,0.002218822,0.103979549,0.003512716,0.004092322,0,0.006308682,0.001948916,0,0.004600091,0.011980757,0.002866179,0.042269945
20240119_AGQT_LAD_MB_1_1,MB,1,1,0.000980815,0.001280302,0.016173197,0.002027627,0.002063074,0.002016161,0.000480107,0,0.025797301,0.001148833,0.024960211,0.003577981,0.006698726
20240119_AGQT_LAD_MB_1_2,MB,1,2,0.014978974,0.001646892,0.065311122,0.00499849,0.005422393,0.001330244,0.002757588,0.000311084,0,0.007739785,0.003158582,0.008291655,0.018541833
20240119_AGQT_LAD_MB_2_1,MB,2,1,0.00057994,0.002366261,0.03518529,0.000186737,0.001102291,0.000440578,0,0.000116956,0.018487256,0,0.003541925,0,0.001134708
20240119_AGQT_LAD_MB_2_2,MB,2,2,0.018797285,0.003761423,0,0.018114066,0.021199381,0,0.002939262,0.000598372,0.004243805,0.002246651,0.008268472,0.00884421,0.0223636
20240119_AGQT_LAD_MB_3_1,MB,3,1,0.01191014,0.010416618,0,0.079769182,0.09017556,0.0047227,0.003734562,0.000187334,0,0.018666781,0.015436158,0.011166191,0.022722944
20240119_AGQT_LAD_MB_3_2,MB,3,2,0.014536231,0.006435676,0,0.031362033,0.034912596,0,0.002331372,0.001128765,0.003843877,0.005821222,0.005700738,0.003879587,0.018214651
20240119_AGQT_LAD_MB_4_1,MB,4,1,0.013849828,0.003948717,0,0.023305101,0.027968556,0.003793577,0.004765421,0.000218113,0,0.008819853,0.009195716,0.00582875,0.013028766
20240119_AGQT_LAD_MB_4_2,MB,4,2,0.011832484,0.016512111,0.110510589,0.065911925,0.068364245,0,0.002488049,0.00224247,0.004577905,0.017344822,0.018848014,0.000267248,0.02225675
20240119_AGQT_LAD_MB_5_1,MB,5,1,0.08332073,0.138834158,0,0.674085628,0.678482216,0.043651862,0.01145434,0.011081123,0.005318955,0.133987552,0.0973503,0.007508087,0.121565584
20240119_AGQT_LAD_MM_1_1,MM,1,1,0.016809052,0.004010752,0,0.004178781,0.005772292,0.002019585,0.001167666,0.000501533,0.005438288,0.002213029,0.012313046,0.007561678,0.019812959
20240119_AGQT_LAD_MM_1_2,MM,1,2,0.016379745,0.00378479,0.003034582,0.006170657,0.008812425,4.52E-05,0.001143473,0.00046955,0,0.012685755,0.012059518,0,0.023507173
20240119_AGQT_LAD_MM_2_1,MM,2,1,0.00864524,0.009088334,0.020449484,0.041423385,0.045126133,0.003054657,0.000730576,0.000246813,0.003357696,0.001554381,0.0042462,0.001382935,0.01508688
20240119_AGQT_LAD_MM_2_2,MM,2,2,0.026795248,0.028996502,0,0.135713233,0.145922982,0.000919775,0.002625194,0.000514209,0.00248671,0.006017424,0.007913042,0.001307679,0.016763215
20240119_AGQT_LAD_MM_3_1,MM,3,1,0.016619899,0.006094107,0.051595701,0.011524648,0.015842148,0.001940286,0.000216386,0.000390084,0.007234499,0.004586596,0.006713572,0.005609372,0.037451949
20240119_AGQT_LAD_MM_3_2,MM,3,2,0.012212649,0.00443062,0,0.029249674,0.032888818,0.005121662,0.00199889,0.000519389,0.002288166,0.032772487,0.026375303,0.004280339,0.014462118
20240119_AGQT_LAD_MM_4_1,MM,4,1,0.016493615,0.012079301,0,0.010619422,0.015387407,0.003294679,0.003234417,0.001625558,0.002714422,0.009789811,0.017312065,0.002469401,0.078213862
20240119_AGQT_LAD_MM_4_2,MM,4,2,0.013754642,0,0.091049914,0.021152181,0.026068901,0.004271849,0.001730558,0.001505271,0.004509813,0.00351213,0.016169984,0.000692003,0.041736694
20240119_AGQT_LAD_MM_5_1,MM,5,1,0.02596691,0.019380189,0,0.009431603,0.010219251,0.010118172,0.003870536,0.000641155,0.007259675,0.005521439,0.010533492,0,0.029738581
20240119_AGQT_LAD_MM_5_2,MM,5,2,0.009890209,0.014974562,0,0.007604181,0.008950644,0.00355437,0.003884425,0.001046123,0.003357216,0.007390868,0.00878568,0.023857327,0.070529172
